RESTAURANT,USER_NAME,REVIEW_DATE,REVIEW_STARS
"Ritz Restaurant","Iain U",11/12/2015,5.0000
"Ritz Restaurant","Darius S",11/12/2015,5.0000
"Ritz Restaurant","Jonathan A",11/5/2015,5.0000
"Ritz Restaurant",Juliesamari,11/5/2015,5.0000
"Ritz Restaurant",Novajane,11/5/2015,5.0000
"Ritz Restaurant",Jeanettehaga,11/5/2015,5.0000
"Ritz Restaurant","Knut Marius S",11/5/2015,5.0000
"Ritz Restaurant",malcjones,10/29/2015,5.0000
"Ritz Restaurant","Dai S",10/29/2015,5.0000
"Ritz Restaurant","Unni S",10/29/2015,5.0000
"Ritz Restaurant",Corniglia123,10/29/2015,5.0000
"Ritz Restaurant","Jakub P",9/19/2015,5.0000
"Ritz Restaurant","Tori K",10/22/2015,5.0000
"Ritz Restaurant",j0annaa2015,10/22/2015,5.0000
"Ritz Restaurant","Margo K",10/15/2015,5.0000
"Ritz Restaurant",conejito0869,10/14/2015,5.0000
"Ritz Restaurant",Taylordiva,10/11/2015,5.0000
"Ritz Restaurant","Carsten P",10/8/2015,5.0000
"Ritz Restaurant","Bart K",10/4/2015,5.0000
"Ritz Restaurant",AgataStar,10/4/2015,5.0000
"Ritz Restaurant","Eirik N",10/4/2015,5.0000
"Ritz Restaurant",Ollstar,9/27/2015,5.0000
"Ritz Restaurant",albanissima,9/24/2015,5.0000
"Ritz Restaurant",2408al,9/24/2015,5.0000
"Ritz Restaurant",VG73,9/23/2015,5.0000
"Ritz Restaurant","Maurice w",9/13/2015,3.0000
"Ritz Restaurant","Jane W",8/23/2015,5.0000
"Ritz Restaurant",Heggvin,8/22/2015,4.0000
"Ritz Restaurant",TimKJ,8/20/2015,5.0000
"Ritz Restaurant",Ynte,8/20/2015,5.0000
"Ritz Restaurant","John Q",8/18/2015,5.0000
"Ritz Restaurant","Artur M",8/16/2015,5.0000
"Ritz Restaurant",gregroberts2014,8/13/2015,5.0000
"Ritz Restaurant","Lila O",8/11/2015,5.0000
"Ritz Restaurant","Aleksandra S",8/11/2015,5.0000
"Ritz Restaurant",Hans-Are,8/6/2015,5.0000
"Ritz Restaurant","Ron v",8/5/2015,4.0000
"Ritz Restaurant","Micha M",7/23/2015,5.0000
"Ritz Restaurant",jtowies,7/22/2015,5.0000
"Ritz Restaurant",LadyItameri,7/19/2015,4.0000
"Ritz Restaurant","Sophie B",7/9/2015,5.0000
"Ritz Restaurant","Ewa W",7/7/2015,5.0000
"Ritz Restaurant",Divert2015,6/30/2015,3.0000
"Ritz Restaurant",Mikethebike476,6/29/2015,5.0000
"Ritz Restaurant","Przemek W",6/21/2015,5.0000
"Ritz Restaurant",laineyling,6/15/2015,4.0000
"Ritz Restaurant","Britt-Marie S",6/1/2015,5.0000
"Ritz Restaurant",kruuza,5/27/2015,5.0000
"Ritz Restaurant",Kamalkalsi,5/24/2015,5.0000
"Ritz Restaurant","Eirin T",5/1/2015,5.0000
"Ritz Restaurant",AWFriz,3/20/2015,5.0000
"Ritz Restaurant",conrad14,3/8/2015,2.0000
"Ritz Restaurant",JJdub1,2/18/2015,4.0000
"Ritz Restaurant",AnjaFJ,11/11/2014,4.0000
"Ritz Restaurant",JacekBJ,11/9/2014,4.0000
"Ritz Restaurant",laputaLondon,11/5/2014,5.0000
"Ritz Restaurant","Andrzej I",10/26/2014,1.0000
"Ritz Restaurant",write2miriam,10/15/2014,5.0000
"Ritz Restaurant","Maria H",10/9/2014,5.0000
"Ritz Restaurant","Camilla J",11/18/2015,4.0000
"Ritz Restaurant",Agnieszka...,8/1/2015,5.0000
"Ritz Restaurant",Tottolott...,11/12/2015,5.0000
"Ritz Restaurant",Ekaterina...,11/12/2015,5.0000
"Ritz Restaurant",Katarzyna...,11/12/2015,5.0000
"Ritz Restaurant",ceccypia,11/5/2015,5.0000
"Ritz Restaurant","Jenny T",10/29/2015,5.0000
"Ritz Restaurant",irka712,10/29/2015,3.0000
"Ritz Restaurant",Jaroslaw...,10/29/2015,5.0000
"Ritz Restaurant","Wouter B",10/6/2015,5.0000
"Ritz Restaurant","Emilia T",10/4/2015,5.0000
"Ritz Restaurant","Oddleif N",9/30/2015,5.0000
"Ritz Restaurant","Kyrre B",9/29/2015,5.0000
"Ritz Restaurant",Christine...,9/29/2015,5.0000
"Ritz Restaurant","Pawe Z",9/27/2015,5.0000
"Ritz Restaurant",Waldemar...,9/20/2015,5.0000
"Ritz Restaurant",torelars,9/20/2015,5.0000
"Ritz Restaurant",wenchekal...,9/19/2015,5.0000
